,Load [W],Mass Flow Rate [kg/s]
2018-01-01 08:18:00,0.0,0.1
2018-01-01 08:19:00,0.0,0.1
2018-01-01 08:20:00,0.0,0.1
2018-01-01 08:21:00,0.0,0.1
2018-01-01 08:22:00,0.0,0.1
2018-01-01 08:23:00,0.0,0.1
2018-01-01 08:24:00,0.0,0.1
2018-01-01 08:25:00,0.0,0.1
2018-01-01 08:26:00,0.0,0.1
2018-01-01 08:27:00,0.0,0.1
2018-01-01 08:28:00,0.0,0.1
2018-01-01 08:29:00,0.0,0.1
2018-01-01 08:30:00,0.0,0.1
2018-01-01 08:31:00,0.0,0.1
2018-01-01 08:32:00,0.0,0.1
2018-01-01 08:33:00,0.0,0.1
2018-01-01 08:34:00,0.0,0.1
2018-01-01 08:35:00,0.0,0.1
2018-01-01 08:36:00,0.0,0.1
2018-01-01 08:37:00,0.0,0.1
2018-01-01 08:38:00,0.0,0.1
2018-01-01 08:39:00,0.0,0.1
2018-01-01 08:40:00,0.0,0.1
2018-01-01 08:41:00,0.0,0.1
2018-01-01 08:42:00,0.0,0.1
2018-01-01 08:43:00,0.0,0.1
2018-01-01 08:44:00,0.0,0.1
2018-01-01 08:45:00,0.0,0.1
2018-01-01 08:46:00,0.0,0.1
2018-01-01 08:47:00,0.0,0.1
2018-01-01 08:48:00,0.0,0.1
2018-01-01 08:49:00,0.0,0.1
2018-01-01 08:50:00,0.0,0.1
2018-01-01 08:51:00,0.0,0.1
2018-01-01 08:52:00,0.0,0.1
2018-01-01 08:53:00,0.0,0.1
2018-01-01 08:54:00,-220.00769361172348,0.1
2018-01-01 08:55:00,-347.9983673237322,0.1
2018-01-01 08:56:00,-187.5128251729523,0.1
2018-01-01 08:57:00,112.53322099845367,0.1
2018-01-01 08:58:00,511.0072855369103,0.1
2018-01-01 08:59:00,861.303181827461,0.1
2018-01-01 09:00:00,926.6031064677309,0.1
2018-01-01 09:01:00,1240.2632733903797,0.1
2018-01-01 09:02:00,1287.9436461055511,0.1
2018-01-01 09:03:00,1465.1228925923124,0.1
2018-01-01 09:04:00,1495.3016842178222,0.1
2018-01-01 09:05:00,709.5903656998472,0.1
2018-01-01 09:06:00,226.9699396005284,0.1
2018-01-01 09:07:00,98.968871096973,0.1
2018-01-01 09:08:00,33.812292331216646,0.1
2018-01-01 09:09:00,-17.051914889890753,0.1
2018-01-01 09:10:00,0.0,0.1
2018-01-01 09:11:00,0.0,0.1
2018-01-01 09:12:00,0.0,0.1
2018-01-01 09:13:00,0.0,0.1
2018-01-01 09:14:00,0.0,0.1
2018-01-01 09:15:00,0.0,0.1
2018-01-01 09:16:00,0.0,0.1
2018-01-01 09:17:00,0.0,0.1
2018-01-01 09:18:00,-194.30297244777563,0.1
2018-01-01 09:19:00,-342.4923730532664,0.1
2018-01-01 09:20:00,-160.0705386070934,0.1
2018-01-01 09:21:00,31.631328701919347,0.1
2018-01-01 09:22:00,192.25567738697924,0.1
2018-01-01 09:23:00,274.50967659631215,0.1
2018-01-01 09:24:00,271.8029819925301,0.1
2018-01-01 09:25:00,420.54320114169906,0.1
2018-01-01 09:26:00,545.5293995357131,0.1
2018-01-01 09:27:00,648.415901923668,0.1
2018-01-01 09:28:00,617.7906324394597,0.1
2018-01-01 09:29:00,69.63140135569154,0.1
2018-01-01 09:30:00,-221.1249105919575,0.1
2018-01-01 09:31:00,-243.7656246258743,0.1
2018-01-01 09:32:00,-244.66759957473616,0.1
2018-01-01 09:33:00,-245.1055808201722,0.1
2018-01-01 09:34:00,0.0,0.1
2018-01-01 09:35:00,0.0,0.1
2018-01-01 09:36:00,0.0,0.1
2018-01-01 09:37:00,0.0,0.1
2018-01-01 09:38:00,0.0,0.1
2018-01-01 09:39:00,0.0,0.1
2018-01-01 09:40:00,0.0,0.1
2018-01-01 09:41:00,0.0,0.1
2018-01-01 09:42:00,-215.13315732199223,0.1
2018-01-01 09:43:00,-437.39240694498415,0.1
2018-01-01 09:44:00,-220.30614702661552,0.1
2018-01-01 09:45:00,-114.36601646607974,0.1
2018-01-01 09:46:00,6.619047820763829,0.1
2018-01-01 09:47:00,105.39703918791234,0.1
2018-01-01 09:48:00,145.63351519059367,0.1
2018-01-01 09:49:00,277.4088825589125,0.1
2018-01-01 09:50:00,311.49162236413457,0.1
2018-01-01 09:51:00,352.5626701873453,0.1
2018-01-01 09:52:00,364.788782263738,0.1
2018-01-01 09:53:00,-63.832964156097,0.1
2018-01-01 09:54:00,-241.1539603829074,0.1
2018-01-01 09:55:00,-243.7086840801495,0.1
